"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.460849190E-1,-1.753946841E-1,-1.894445866E-1,8.689557761E-2,2.724029883E-1
1.480847520E-1,-1.711186320E-1,-1.986075640E-1,9.911288321E-2,2.802675762E-1
1.500846520E-1,-1.692860276E-1,-2.132683247E-1,1.125519201E-1,2.946337933E-1
1.520848180E-1,-1.662317067E-1,-2.212095708E-1,1.192714423E-1,3.013176587E-1
1.540846840E-1,-1.637882441E-1,-2.346486151E-1,1.345430762E-1,3.162094256E-1
1.560845500E-1,-1.631773859E-1,-2.444224507E-1,1.412625909E-1,3.260740917E-1
1.580853500E-1,-1.582904607E-1,-2.609158158E-1,1.565342247E-1,3.429808980E-1
1.600852160E-1,-1.637882441E-1,-2.719113827E-1,1.681406647E-1,3.592125723E-1
1.620850820E-1,-1.619556546E-1,-2.877938747E-1,1.840231568E-1,3.780469159E-1
1.640849480E-1,-1.668425649E-1,-3.079524338E-1,1.992947906E-1,4.029758759E-1
1.660848810E-1,-1.662317067E-1,-3.171154261E-1,2.109012306E-1,4.155412168E-1
1.680848140E-1,-1.674534380E-1,-3.336087763E-1,2.273945808E-1,4.370855351E-1
1.700847470E-1,-1.705077589E-1,-3.629303277E-1,2.524400651E-1,4.738325707E-1
1.720856130E-1,-1.705077589E-1,-3.629303277E-1,2.524400651E-1,4.738325707E-1
1.740855460E-1,-1.698969007E-1,-3.861432076E-1,2.683225572E-1,4.999685273E-1
1.760854790E-1,-1.717294902E-1,-3.977496326E-1,2.738203406E-1,5.125166992E-1
1.780854120E-1,-1.717294902E-1,-4.203516543E-1,2.878702581E-1,5.376391137E-1
1.800853450E-1,-1.717294902E-1,-4.350124002E-1,2.921462953E-1,5.514311053E-1
1.820848780E-1,-1.698969007E-1,-4.637230933E-1,2.994766831E-1,5.775728074E-1
1.840844440E-1,-1.692860276E-1,-4.887685478E-1,3.037527502E-1,5.998484689E-1
1.860843440E-1,-1.656208336E-1,-5.015967488E-1,3.049744666E-1,6.099499850E-1
1.880842440E-1,-1.674534380E-1,-5.303074121E-1,3.006984293E-1,6.322073637E-1
1.900841440E-1,-1.698969007E-1,-5.639050007E-1,2.890919745E-1,6.560701002E-1
1.920849440E-1,-1.698969007E-1,-5.639050007E-1,2.890919745E-1,6.560701002E-1
1.940848440E-1,-1.711186320E-1,-5.785657167E-1,2.774855494E-1,6.640919401E-1
1.960847440E-1,-1.741729528E-1,-5.907830596E-1,2.713768780E-1,6.730573905E-1
1.980841770E-1,-1.760055423E-1,-6.005569100E-1,2.518292069E-1,6.745846890E-1
2.000840100E-1,-1.815033406E-1,-6.078872681E-1,2.304489166E-1,6.749645150E-1
2.020838430E-1,-1.882228553E-1,-6.139959097E-1,2.194533348E-1,6.786594039E-1
2.040836760E-1,-1.967749745E-1,-6.127741933E-1,1.980730593E-1,6.733836495E-1
2.060835090E-1,-2.010510266E-1,-6.152176857E-1,1.852448881E-1,6.732235770E-1
2.080833420E-1,-2.138791978E-1,-6.121633053E-1,1.601994038E-1,6.679461599E-1
2.100831750E-1,-2.260964960E-1,-6.042220592E-1,1.211040318E-1,6.564069690E-1
2.120835750E-1,-2.260964960E-1,-6.042220592E-1,1.211040318E-1,6.564069690E-1
2.140834410E-1,-2.407572716E-1,-5.987243056E-1,9.666942805E-2,6.525180736E-1
2.160835740E-1,-2.499202490E-1,-5.950590968E-1,7.345654815E-2,6.495778044E-1
2.180833740E-1,-2.615266740E-1,-5.901721716E-1,4.902193695E-2,6.473812970E-1
2.200831740E-1,-2.731331289E-1,-5.852852464E-1,2.031126991E-2,6.461989426E-1
2.220829740E-1,-2.755765915E-1,-5.840635300E-1,7.483099122E-3,6.458549850E-1
2.240827740E-1,-2.877938747E-1,-5.797874928E-1,-1.756237634E-2,6.475239672E-1
2.260825740E-1,-2.920699418E-1,-5.785657167E-1,-2.977968007E-2,6.487911596E-1
2.280823740E-1,-2.969568670E-1,-5.803983212E-1,-5.726861581E-2,6.544656495E-1
2.300821740E-1,-3.073415756E-1,-5.852852464E-1,-9.269879758E-2,6.675408083E-1
2.320809740E-1,-3.073415756E-1,-5.852852464E-1,-9.269879758E-2,6.675408083E-1
2.340807070E-1,-3.097850382E-1,-5.920047760E-1,-1.122464910E-1,6.775217336E-1
2.360804400E-1,-3.140611053E-1,-5.975025892E-1,-1.238529310E-1,6.862822091E-1
2.380801730E-1,-3.140611053E-1,-6.005569100E-1,-1.452332139E-1,6.931058119E-1
2.400799060E-1,-3.122285008E-1,-6.084981561E-1,-1.611157060E-1,7.026484992E-1
2.420800720E-1,-3.116176426E-1,-6.152176857E-1,-1.727221459E-1,7.109369140E-1
2.440802050E-1,-3.073415756E-1,-6.213263273E-1,-1.855503172E-1,7.175891369E-1
2.460799380E-1,-3.048981130E-1,-6.365979314E-1,-1.983784884E-1,7.331942514E-1
2.480796710E-1,-3.012329340E-1,-6.408740282E-1,-2.020436823E-1,7.363982958E-1
2.500790370E-1,-2.896264791E-1,-6.622542739E-1,-2.148718536E-1,7.540783342E-1
2.520778700E-1,-2.896264791E-1,-6.622542739E-1,-2.148718536E-1,7.540783342E-1
2.540776030E-1,-2.804635167E-1,-6.805802584E-1,-2.203696370E-1,7.683827492E-1
2.560773360E-1,-2.719113827E-1,-7.019605041E-1,-2.234239578E-1,7.852404818E-1
2.580775360E-1,-2.694679201E-1,-7.117343545E-1,-2.258674204E-1,7.938481233E-1
2.600773360E-1,-2.572506368E-1,-7.325037718E-1,-2.246456891E-1,8.082112047E-1
2.620770690E-1,-2.578614950E-1,-7.416667938E-1,-2.234239578E-1,8.163825382E-1
2.640768020E-1,-2.529745698E-1,-7.551057935E-1,-2.252565622E-1,8.275997892E-1
2.660765350E-1,-2.511419654E-1,-7.630470395E-1,-2.203696370E-1,8.329921057E-1
2.680760010E-1,-2.493093759E-1,-7.624362111E-1,-2.234239578E-1,8.326958664E-1
2.700757340E-1,-2.425898612E-1,-7.862599492E-1,-2.057088763E-1,8.481572320E-1
2.720754000E-1,-2.425898612E-1,-7.862599492E-1,-2.057088763E-1,8.481572320E-1
2.740751330E-1,-2.279291004E-1,-8.076401949E-1,-1.922698319E-1,8.609309191E-1
2.760745990E-1,-2.169335186E-1,-8.302422166E-1,-1.696678251E-1,8.747282210E-1
2.780743320E-1,-2.083813995E-1,-8.418486714E-1,-1.592831165E-1,8.817613648E-1
2.800740650E-1,-1.986075640E-1,-8.540659547E-1,-1.324050426E-1,8.867946294E-1
2.820737980E-1,-1.870011240E-1,-8.601745963E-1,-1.153008118E-1,8.877860292E-1
2.840735310E-1,-1.735620946E-1,-8.650615215E-1,-8.109235764E-2,8.860198684E-1
2.860732640E-1,-1.613447815E-1,-8.699484468E-1,-4.871650413E-2,8.861239960E-1
