"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.303380110E-1,-1.408044398E-1,-1.185842156E-1,2.794708498E-2,1.861965253E-1
1.323378440E-1,-1.414152980E-1,-1.088103727E-1,3.466660157E-2,1.817684158E-1
1.343376770E-1,-1.475239545E-1,-1.027017161E-1,3.100141138E-2,1.824062695E-1
1.363375100E-1,-1.518000066E-1,-7.582364976E-2,3.711006418E-2,1.736940550E-1
1.383368760E-1,-1.518000066E-1,-7.582364976E-2,3.711006418E-2,1.736940550E-1
1.403368420E-1,-1.475239545E-1,-7.154759020E-2,3.711006418E-2,1.681057158E-1
1.423367420E-1,-1.463022232E-1,-5.994115397E-2,3.527746722E-2,1.619931546E-1
1.443366420E-1,-1.395827085E-1,-5.810855702E-2,3.527746722E-2,1.552560356E-1
1.463365080E-1,-1.353066564E-1,-4.772384837E-2,3.039054573E-2,1.466596135E-1
1.483363740E-1,-1.230893433E-1,-3.795000166E-2,2.489275858E-2,1.311900853E-1
1.503362400E-1,-1.163698286E-1,-3.795000166E-2,2.428189293E-2,1.247868180E-1
1.523361060E-1,-9.987647086E-2,-3.428481147E-2,1.817324013E-2,1.071495422E-1
1.543359720E-1,-9.682214260E-2,-3.428481147E-2,1.695151068E-2,1.041024943E-1
1.563358380E-1,-6.200282276E-2,-3.367394581E-2,5.955935922E-3,7.080789383E-2
1.583358040E-1,-6.200282276E-2,-3.367394581E-2,5.955935922E-3,7.080789383E-2
1.603357370E-1,-5.039638281E-2,-3.917173296E-2,5.955935922E-3,6.410688915E-2
1.623356700E-1,-3.573561832E-2,-4.161519557E-2,-1.527163113E-4,5.485327922E-2
1.643356030E-1,-2.046398632E-2,-4.711298272E-2,-1.374446787E-3,5.138382023E-2
1.663355360E-1,-1.557706390E-2,-5.077817291E-2,-3.817907767E-3,5.325076698E-2
1.683354690E-1,-3.970623948E-3,-5.322163552E-2,-3.207042580E-3,5.346581585E-2
1.703354020E-1,2.748893574E-3,-5.688682571E-2,2.290744567E-3,5.699925321E-2
1.723353350E-1,1.496619824E-2,-6.360634416E-2,4.734205548E-3,6.551463050E-2
1.743353010E-1,1.679879427E-2,-6.971499324E-2,8.399397135E-3,7.220062080E-2
1.763352010E-1,2.535090782E-2,-7.948884368E-2,1.878410578E-2,8.552185350E-2
1.783351010E-1,2.535090782E-2,-7.948884368E-2,1.878410578E-2,8.552185350E-2
1.803350010E-1,2.229658142E-2,-8.865182102E-2,2.122756653E-2,9.384504512E-2
1.823349010E-1,2.657263726E-2,-9.720393270E-2,2.977968007E-2,1.050787273E-1
1.843348010E-1,2.107485011E-2,-1.118647009E-1,3.833179548E-2,1.201132264E-1
1.863347010E-1,1.985312067E-2,-1.173624843E-1,4.077525437E-2,1.258201911E-1
1.883346010E-1,1.618792862E-2,-1.289689243E-1,4.566217586E-2,1.377681631E-1
1.903345010E-1,1.252273750E-2,-1.362993121E-1,4.810563847E-2,1.450809219E-1
1.923343340E-1,5.803219974E-3,-1.454622895E-1,5.543602258E-2,1.557758249E-1
1.943341670E-1,9.162978968E-4,-1.540143937E-1,5.849034712E-2,1.647494879E-1
1.963340000E-1,-9.468411095E-3,-1.589013189E-1,6.582073122E-2,1.722546041E-1
1.983338330E-1,-9.468411095E-3,-1.589013189E-1,6.582073122E-2,1.722546041E-1
2.003336660E-1,-1.496619824E-2,-1.589013189E-1,6.826419383E-2,1.735903695E-1
2.023334990E-1,-2.229658142E-2,-1.619556546E-1,7.070764899E-2,1.781189020E-1
2.043333320E-1,-2.474004216E-2,-1.601230502E-1,7.498370856E-2,1.785329590E-1
2.063331980E-1,-2.840523422E-2,-1.589013189E-1,7.742717117E-2,1.790291968E-1
2.083329980E-1,-3.573561832E-2,-1.564578563E-1,8.109235764E-2,1.798111945E-1
2.103327980E-1,-4.184427112E-2,-1.503492147E-1,8.475755155E-2,1.775941213E-1
2.123325980E-1,-4.795292020E-2,-1.466840208E-1,8.597928286E-2,1.766582055E-1
2.143323980E-1,-5.406157300E-2,-1.387427747E-1,8.964447677E-2,1.738054758E-1
2.163321980E-1,-5.955936015E-2,-1.259146035E-1,9.758572280E-2,1.700728610E-1
2.183324640E-1,-5.955936015E-2,-1.259146035E-1,9.758572280E-2,1.700728610E-1
2.203322640E-1,-6.322455406E-2,-1.167516187E-1,1.024726480E-1,1.677168098E-1
2.223320640E-1,-6.322455406E-2,-1.136972904E-1,1.067487001E-1,1.682845895E-1
2.243317970E-1,-6.566801667E-2,-1.051451787E-1,1.091921628E-1,1.651990479E-1
2.263315300E-1,-6.688974798E-2,-1.057560444E-1,1.134682223E-1,1.689189651E-1
2.283312630E-1,-6.811147183E-2,-9.903652966E-2,1.189660057E-1,1.691162834E-1
2.303309960E-1,-6.444628537E-2,-9.964739531E-2,1.299615800E-1,1.759913048E-1
2.323307290E-1,-6.444628537E-2,-9.781479836E-2,1.354593635E-1,1.790818182E-1
2.343304620E-1,-6.811147183E-2,-9.353873879E-2,1.458440721E-1,1.861697119E-1
2.363302620E-1,-6.505715102E-2,-8.804095536E-2,1.702786833E-1,2.024314025E-1
2.383295950E-1,-6.505715102E-2,-8.804095536E-2,1.702786833E-1,2.024314025E-1
2.403293280E-1,-6.627888232E-2,-8.498662710E-2,1.806633919E-1,2.103684345E-1
2.423290610E-1,-6.933320314E-2,-8.437576145E-2,1.886046380E-1,2.179405232E-1
2.443287940E-1,-6.688974798E-2,-8.009970188E-2,2.038762718E-1,2.290321699E-1
2.463285270E-1,-7.055493444E-2,-8.376489580E-2,2.099849284E-1,2.368295309E-1
2.483287600E-1,-6.811147183E-2,-8.132143319E-2,2.228130996E-1,2.467752529E-1
2.503284930E-1,-7.238753140E-2,-8.315403014E-2,2.338086665E-1,2.584976595E-1
2.523282930E-1,-7.238753140E-2,-8.437576145E-2,2.405281961E-1,2.649774272E-1
2.543280260E-1,-7.483099401E-2,-8.498662710E-2,2.472477108E-1,2.719445439E-1
2.563277590E-1,-7.971791178E-2,-9.048441797E-2,2.619084716E-1,2.883373421E-1
2.583275920E-1,-7.971791178E-2,-9.048441797E-2,2.619084716E-1,2.883373421E-1
2.603273250E-1,-8.216137439E-2,-9.659306705E-2,2.680171132E-1,2.965027572E-1
2.623270580E-1,-8.032877743E-2,-1.020908505E-1,2.710714638E-1,3.005910723E-1
2.643267910E-1,-8.460483700E-2,-1.094212383E-1,2.759583890E-1,3.086810949E-1
2.663265240E-1,-8.827003092E-2,-1.253037304E-1,2.814561725E-1,3.204843213E-1
2.683263240E-1,-8.582656831E-2,-1.301906556E-1,2.857322097E-1,3.255129833E-1
2.703260570E-1,-9.193521738E-2,-1.460731477E-1,2.887865305E-1,3.364329188E-1
2.723257900E-1,-9.315694869E-2,-1.570687294E-1,2.912299931E-1,3.437494898E-1
2.743255230E-1,-9.865473956E-2,-1.778381467E-1,2.961169183E-1,3.592274953E-1
2.763252560E-1,-1.047633886E-1,-2.169335186E-1,3.046690524E-1,3.884053946E-1
2.783249560E-1,-1.047633886E-1,-2.169335186E-1,3.046690524E-1,3.884053946E-1
2.803246890E-1,-1.114829108E-1,-2.517528534E-1,3.083342314E-1,4.133738463E-1
2.823244220E-1,-1.102611795E-1,-2.664135993E-1,3.107776940E-1,4.239298393E-1
2.843242220E-1,-1.182024255E-1,-3.128393590E-1,3.144428730E-1,4.590365981E-1
2.863239550E-1,-1.206458881E-1,-3.641520441E-1,3.211624026E-1,5.003073359E-1
2.883236880E-1,-1.230893433E-1,-3.904192448E-1,3.223841190E-1,5.210659203E-1
2.903234210E-1,-1.285871267E-1,-4.582252800E-1,3.236058652E-1,5.755222085E-1
2.923231540E-1,-1.322523206E-1,-5.284748077E-1,3.266601861E-1,6.352032556E-1
2.943228870E-1,-1.328631938E-1,-5.694027543E-1,3.266601861E-1,6.697604064E-1
2.963226200E-1,-1.346957833E-1,-6.989061832E-1,3.278819323E-1,7.836576858E-1
2.983223530E-1,-1.346957833E-1,-7.453319430E-1,3.278819323E-1,8.253297649E-1
3.003221530E-1,-1.328631938E-1,-7.966446280E-1,3.223841190E-1,8.696130242E-1
3.023218860E-1,-1.322523206E-1,-8.974373937E-1,3.174972236E-1,9.610874252E-1
3.043216190E-1,-1.310305893E-1,-9.518043995E-1,3.119994104E-1,1.010170413E0
3.063213520E-1,-1.188132912E-1,-1.075199246E0,3.040581644E-1,1.123664267E0
3.083205850E-1,-1.078177169E-1,-1.144226909E0,3.034473062E-1,1.188680002E0
3.103203180E-1,-8.949175477E-2,-1.290834665E0,2.900082767E-1,1.326034580E0
3.123200510E-1,-6.505715102E-2,-1.438053131E0,2.716823220E-1,1.464937038E0
3.143198510E-1,-4.917465150E-2,-1.515022159E0,2.649627924E-1,1.538803291E0
3.163196510E-1,-9.162978968E-4,-1.728214145E0,2.289217561E-1,1.743310110E0
3.183197840E-1,1.252273750E-2,-1.800907135E0,2.136501223E-1,1.813579252E0
3.203195170E-1,2.779436857E-2,-1.871767521E0,2.014328092E-1,1.882780220E0
3.223192500E-1,5.589416996E-2,-2.006768703E0,1.715004146E-1,2.014859097E0
3.243189830E-1,7.299839705E-2,-2.067244291E0,1.562287807E-1,2.074424054E0
3.263187160E-1,9.254608303E-2,-2.174756527E0,1.262963861E-1,2.180385632E0
3.283184490E-1,1.090394482E-1,-2.218739033E0,1.116356254E-1,2.224220090E0
3.303182490E-1,1.157589629E-1,-2.295707941E0,8.597928286E-2,2.300232059E0
3.323179820E-1,1.261436790E-1,-2.355572701E0,5.849034712E-2,2.359672879E0
3.343176150E-1,1.243110746E-1,-2.378785610E0,4.505131021E-2,2.382457522E0
3.363173480E-1,1.194241568E-1,-2.427654743E0,1.206458826E-2,2.430620340E0
3.383166140E-1,1.157589629E-1,-2.439872265E0,1.069014193E-3,2.442617029E0
3.403163470E-1,1.053742543E-1,-2.453311205E0,-1.053742506E-2,2.455595781E0
3.423160800E-1,9.071348608E-2,-2.467360973E0,-3.252857551E-2,2.469242236E0
3.443158130E-1,7.910704613E-2,-2.471637249E0,-4.352414981E-2,2.473285864E0
3.463156130E-1,5.650503561E-2,-2.480800152E0,-6.246097013E-2,2.482229559E0
3.483153460E-1,3.023782931E-2,-2.474080563E0,-8.139779419E-2,2.475603877E0
3.503146460E-1,1.252273750E-2,-2.474080563E0,-8.872817457E-2,2.475702756E0
3.523143790E-1,-1.924225502E-2,-2.458808899E0,-1.027780771E-1,2.461031247E0
3.543141120E-1,-3.817907721E-2,-2.446591616E0,-1.082758680E-1,2.449283944E0
3.563138450E-1,-9.804387391E-2,-2.395889759E0,-1.284344196E-1,2.401332076E0
3.583136780E-1,-1.175915599E-1,-2.377563953E0,-1.296561509E-1,2.383998499E0
3.603134110E-1,-1.463022232E-1,-2.358016253E0,-1.357648075E-1,2.366448197E0
3.623132110E-1,-1.982257664E-1,-2.315866470E0,-1.467603743E-1,2.328963196E0
3.643129440E-1,-2.269364446E-1,-2.290821075E0,-1.534798890E-1,2.307144865E0
3.663126770E-1,-2.806925774E-1,-2.237064838E0,-1.620320082E-1,2.260420710E0
3.683124100E-1,-3.405573666E-1,-2.179032803E0,-1.705841124E-1,2.212071928E0
3.703121430E-1,-3.674354553E-1,-2.150932789E0,-1.748601794E-1,2.189085827E0
3.723118760E-1,-4.230241776E-1,-2.087402821E0,-1.779145002E-1,2.137253742E0
